SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_VIDEO_COUNT,COMP_IMG_COUNT,COMP_HAS_RICH_CONTENT,RETAIL_SALES_VALUE,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS_AVAILABLE,AV_OOS_OOS,GROWTH_16_WEEK
1.25,18,441,0,1,0,26372,0,0,0,0,3,1.449610083,0,3,2.3,1,0,0.065691808
1.65,33,271,0,1,0,19026.35,0,0,0,0,3,0.506817413,1,103,4.8,1,0,0.050400997
3,24,109,0,1,0,3966.6,0,1,0,2,0,0.564025259,0,71,4.7,1,0,0.019558876
1.65,33,271,0,1,0,24436.3,1,1,1,1,3,0.491990882,1,103,4.8,1,0,0.103755908
1.25,25,110,0,1,0,13288.25,0,0,0,0,4,0,0,3,2.3,1,0,0.059474169
3,31,96,0,3,0,0,0,0,0,0,3,0,0,4,4,1,0,
1,35,342,0,1,0,1910,0,0,0,0,0,0,1,1,1,1,0,0.195679682
3.5,30,110,0,1,0,6515.5,1,0,0,0,2,0.28468471,0,7,5,1,0,0.332975746
1.99,33,244,0,1,0,7330.78,0,0,0,0,0,0.422592913,0,3,2.7,1,0,0.072003507
3.5,49,312,0,1,0,9042.5,1,0,0,0,3,0.486698876,0,10,4.9,1,0,0.001891253
1.99,33,244,0,1,0,7506.48,0,0,0,0,4,-0.045831503,0,3,2.7,1,0,0.053412416
1.8,30,246,0,1,0,4003.29,1,0,1,0,3,0.413246283,0,2,5,1,0,0.03616045
3,24,109,0,1,0,14525,0,0,0,0,0,0.342309113,0,71,4.7,1,0,0.178179564
1.35,37,165,0,4,0,6836.7,0,0,0,0,3,0.36697663,0,2,4.5,1,0,0.048255186
1.25,24,220,0,1,0,12733.75,0,0,0,0,4,0.38739004,1,6,4.8,1,0,0.041057309
1.25,32,119,0,4,0,1047.5,1,0,1,0,3,0.377417574,0,1,1,1,0,0.041575642
3,26,102,0,1,0,1725,0,0,0,0,3,0.548991136,0,1,5,1,0,0.128791414
1.35,36,180,0,1,0,4300.35,0,0,0,0,0,0.354284199,0,3,5,1,0,0.000841271
0.99,26,607,0,1,0,1413.72,0,0,0,0,0,0.248485712,1,8,4.1,1,0,0.069156805
1.8,30,324,0,1,0,7584.71,1,1,1,2,3,0.438043704,0,4,5,1,0,0.070353545
3.5,30,110,0,1,0,2247,1,0,0,0,2,0.340207607,0,1,5,1,0,0.155821918
0.99,26,182,0,1,0,1248.39,1,1,1,2,3,0.331563002,0,6,3.8,1,0,0.027806228
1.35,33,95,0,1,0,2274.6,0,0,0,0,3,0.432831895,1,5,4.6,1,0,0.056922435
4,26,565,0,1,0,9373.8,1,1,1,3,3,0.608623466,1,5,4.2,1,0,0.052829788
1.35,27,186,0,1,0,1354.2,0,0,0,0,2,0.528388126,1,4,4,1,0,0.084521805
3.5,26,102,0,1,0,1726.5,1,0,1,0,3,0.458198943,0,5,4.4,1,0,0.002015213
1,33,307,0,1,0,4836.95,0,0,0,0,3,0,1,1,1,1,0,0.186033394
3.5,30,110,0,1,0,2530.5,1,0,0,0,2,0.340207607,0,1,5,1,0,0.17522066
3,18,101,0,3,0,2043,1,0,1,0,2,-2.665134456,0,1,5,1,0,0.033265894
0.99,35,342,0,1,0,2636.92,0,0,0,0,0,0,0,6,4.2,1,0,0.045894074
5,17,111,0,1,0,1230,0,0,0,0,0,0.440895362,0,11,1.5,1,0,0.022843505
3.49,38,190,0,1,0,2332.06,0,0,0,0,5,0.509867658,0,123,4.6,1,0,0.086882557
1.35,36,92,0,1,0,4422.8,1,0,1,0,4,0.420360335,0,4,4,1,0,0.051661308
1.35,33,95,0,1,0,3064.2,0,0,0,0,3,0.432740193,1,5,4.6,1,0,0.121146986
1.25,36,182,0,4,0,3754,0,0,0,0,3,0.239696768,0,1,5,1,0,0.067256939
3.5,26,247,0,1,0,8166.22,1,1,1,2,3,0.380279173,1,4,4,1,0,0.046132349
1.99,36,308,0,1,0,3597.03,0,0,0,0,2,-0.44331095,0,2,4,0,1,0.062761506
1.99,33,455,0,1,0,11592.26,0,0,0,0,4,0.301623244,1,3,2.7,1,0,0.070923426
1,33,307,0,1,0,15513.6,1,0,1,0,3,0,0,1,1,1,0,0.088991871
3.5,26,247,0,1,0,12936,1,1,1,2,3,0.52027981,0,4,4,1,0,0.160302882
3.5,31,98,0,1,0,13863,0,0,0,0,4,0.397120329,0,2,5,1,0,0.164223243
1.25,37,165,0,4,0,4243,0,0,0,0,3,0.389925603,0,1,4,1,0,0.064766244
3.5,34,274,0,1,0,45844.75,1,1,1,1,4,0.463453359,1,92,4.6,1,0,0.095383455
1.35,42,94,0,1,0,10289.6,0,0,0,0,5,0.427748984,0,68,4.4,1,0,0.06272136
3,26,109,0,3,0,3106.41,0,0,0,0,2,0.550488707,1,1,5,1,0,0.027340248
1.5,36,180,0,1,0,5110.7,0,0,0,0,3,0.382863253,0,3,5,1,0,0.07198026
1,35,342,0,1,0,2921.25,0,0,0,0,0,0,0,3,3.7,1,0,0.100289895
1.25,36,182,0,4,0,2602.25,0,0,0,0,0,0.259922969,1,1,5,1,0,0.069767442
1.25,43,203,0,1,0,1787.7,1,1,1,2,2,0.340406658,0,1,5,1,0,0.194603175
1.65,48,197,0,1,0,26556.6,1,1,1,1,3,0.445718329,0,6,4.2,1,0,0.059512752
3.5,26,247,0,1,0,33958.32,0,0,0,0,3,0.569441361,1,4,4,1,0,0.066261512
1.25,24,220,0,1,0,11861.25,0,0,0,0,0,0.370366,0,6,4.8,1,0,0.051688061
2.2,30,366,0,1,0,6894.8,1,1,1,1,2,0.115552849,0,13,3.7,1,0,0.054111889
1.24,39,444,0,4,0,334.04,1,0,1,0,5,0,0,,,1,0,0.05619483
2.99,26,247,0,1,0,6980.16,1,1,1,2,3,0.405490815,0,4,4,1,0,0.054372411
1.25,24,220,0,1,0,12643.75,0,0,0,0,4,0.357437179,0,6,4.8,1,0,0.039547928
1.5,44,476,0,1,0,655.5,1,1,1,2,2,0.485639839,0,9,4.8,1,0,0.069732188
3,30,366,0,1,0,9312,1,1,1,1,2,-1.824095892,1,13,3.7,1,0,0.036765814
1.5,38,368,0,1,0,9695.3,1,1,1,0,3,0.372678089,0,7,4.8,1,0,0.014832274
1.25,24,220,0,1,0,12415,0,0,0,0,0,0.339672341,0,6,4.8,1,0,0.059504692
3.5,28,111,0,1,0,2002,1,1,1,2,2,0.508917149,0,1,3,1,0,0.112775061
2,44,315,0,1,0,10124,0,0,0,0,3,0,1,1,5,1,0,0.222049448
1.5,33,433,0,1,0,10176.9,0,0,0,0,3,0.390586449,0,5,5,1,0,0.059258732
1.25,37,165,0,4,0,4243,0,0,0,0,3,0.389925603,0,1,4,1,0,0.064766244
1.25,44,87,0,4,0,777.5,1,0,0,0,3,0.407694186,0,1,5,1,0,0.067300452
1.35,27,203,0,1,0,4623.3,0,0,0,0,2,0.373859234,0,4,4,1,0,0.063278252
0.99,33,531,0,1,0,5584.75,1,1,1,2,3,0,0,4,3,1,0,0.041134548
0.99,33,531,0,1,0,6623.21,1,1,1,2,3,0,1,4,3,1,0,0.056857972
3,24,111,0,1,0,9947,0,1,0,2,0,0.402253785,1,71,4.7,1,0,0.083541493
1.99,35,128,0,1,0,0,0,0,0,0,0,0,0,4,3,1,0,
1.35,26,70,0,3,0,2565,0,0,0,0,2,0.37879066,0,,,1,0,0.070249293
2.5,49,199,0,1,0,12349.5,1,0,1,0,2,0.355660515,1,6,4.3,1,0,0.050904306
3.5,23,289,0,4,0,7387.88,0,0,0,0,3,0.267559687,0,91,4.6,1,0,0.037822361
1.5,24,368,0,1,0,13945.9,0,0,0,0,0,0.321684614,1,6,4.8,1,0,0.038063855
5,38,325,0,4,0,1610,0,0,0,0,5,0.448261708,0,123,4.6,1,0,0.11902615
4,34,274,0,1,0,14895.02,1,1,1,1,4,0.365469284,0,92,4.6,1,0,0.13522135
0.99,30,331,0,1,0,3157.99,1,0,1,0,3,0.20406142,1,6,4.7,1,0,0.050519808
1,33,307,0,1,0,15799.5,1,0,1,0,3,0,0,1,1,1,0,0.116064203
1.8,30,246,0,1,0,13349.88,1,1,1,2,3,0.435414023,1,3,5,1,0,0.200704188
7,38,286,0,1,0,10647,0,0,0,0,5,0.387060572,1,2,3,1,0,0.062625893
2,37,221,0,1,0,3728,0,0,0,0,5,0.557861794,1,2,5,1,0,0.32437276
5,17,109,0,1,0,1450,0,0,0,0,0,0.470322515,0,11,1.5,1,0,0.047774255
1.25,18,159,0,3,0,25359.5,0,0,0,0,0,0.382844054,1,3,2.3,1,0,0.055241828
1.35,27,186,0,1,0,4646.2,0,0,0,0,2,0.353242748,1,4,4,1,0,0.075576476
1.35,36,182,0,4,0,4117.1,0,0,0,0,3,0.282841498,0,3,5,1,0,0.066683437
3.5,26,565,0,1,0,8964.5,1,1,1,3,3,0.49677671,1,5,4.2,1,0,0.093455206
3.5,23,289,0,4,0,7387.88,0,0,0,0,3,0.267559687,0,91,4.6,1,0,0.037822361
1.99,33,244,0,1,0,8707.08,0,0,0,0,0,0.335243558,0,3,2.7,1,0,0.034588651
0.99,26,607,0,1,0,1798.83,0,0,0,0,0,-0.029353477,1,8,4.1,1,0,0.04300684
1.5,39,96,0,1,0,2619.1,1,0,1,0,3,0.55450298,1,7,4.4,1,0,0.058289022
0.99,26,182,0,1,0,1192.95,1,1,1,2,2,0.560633918,0,7,4,1,0,0.056640625
3.6,26,353,0,1,0,6530.4,1,1,1,2,3,0.518996384,0,4,4,1,0,0.061438528
3.5,32,92,0,1,0,21650,1,0,1,0,2,0.430365241,0,3,5,1,0,0.117429703
5,22,71,0,4,0,1105,0,0,0,0,0,0.450101482,0,3,2,1,0,0.119912393
1.25,33,95,0,1,0,3046.05,0,0,0,0,3,0.257779833,0,1,5,1,0,0.068473282
2,30,324,0,1,0,5220.1,1,0,1,0,3,0.528101486,1,6,4.3,1,0,0.037011173
1.35,36,180,0,1,0,2179.65,0,0,0,0,3,0.355181854,1,3,5,1,0,0.008559162
