SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_IMG_COUNT,RETAIL_SALES_VALUE,RETAIL_SALES_UNIT,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,LAST_1_WEEK_SALES,LAST_2_WEEK_SALES,LAST_4_WEEK_SALES,LAST_8_WEEK_SALES,LAST_16_WEEK_SALES,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS
1.25,24,220,1,12533.75,10027,0,0,0,0,0,0.346945661039842,19887,28939,48860,88241,159721,0,6.0,4.8,0
1.25,42,94,1,8967.5,7158,0,0,0,0,5,0.413021949490488,14246,20836,32464,50416,93316,1,67.0,4.4,0
1.35,36,180,1,4431.7,3213,0,0,0,0,3,0.343478892987631,6187,8979,13600,22067,41290,1,3.0,5.0,0
0.99,33,156,1,1364.22,1378,1,0,1,0,3,0.426042988805861,3067,5057,8782,16188,40556,0,6.0,5.0,0
1.35,26,70,1,913.95,677,0,0,0,0,2,0.414031092019028,2448,4703,11062,19081,35709,0,,,0
0.99,33,156,1,1315.71,1329,1,1,1,2,2,0.501905765835011,3084,5252,9267,16759,29543,0,6.0,5.0,0
1.35,42,74,1,4733.4,3494,0,0,0,0,5,0.432552284863601,10254,20382,53090,93904,164122,0,68.0,4.4,0
1.35,29,433,1,12407.1,9189,0,0,0,0,0,0.361591547638169,17576,26034,37739,59605,111161,0,4.0,5.0,0
0.99,26,182,1,1227.6,1240,0,0,0,0,0,0.488165533400381,2419,3742,6492,11432,20606,0,7.0,4.0,0
2.99,26,247,1,7706.95,2573,0,0,0,0,3,0.39184067153063,4814,6970,12906,27231,85598,0,4.0,4.0,0
3.6,26,344,1,14359.05,4785,0,0,0,0,3,0.413006273424235,9509,13548,17321,31142,50300,1,5.0,4.2,0
1.25,18,441,1,26372.0,21094,0,0,0,0,3,1.44961008317058,40670,61946,101848,174048,323876,0,3.0,2.3,0
1.65,33,271,1,19026.35,13677,0,0,0,0,3,0.506817412860074,25567,30582,40644,55951,99502,1,103.0,4.8,0
3.0,24,109,1,3966.6,1322,0,1,0,2,0,0.564025259044728,2652,4469,12218,19480,92899,0,71.0,4.7,0
1.65,33,271,1,24436.3,18094,1,1,1,1,3,0.491990882473231,38353,52030,68935,87070,131819,1,103.0,4.8,0
1.25,25,110,1,13288.25,10610,0,0,0,0,4,0.0,19373,28159,46692,82463,147728,0,3.0,2.3,0
3.0,31,96,3,0.0,0,0,0,0,0,3,0.0,0,0,0,0,0,0,4.0,4.0,0
