SR_PARSED_PRICE,COMP_TITLE_LENGTH,COMP_DESCRIPTION_LENGTH,COMP_IMG_COUNT,RETAIL_SALES_VALUE,RETAIL_SALES_UNIT,SEARCH_TERM_IN_NAME,SEARCH_TERM_IN_DESC,SEARCH_TERM_COUNT_IN_NAME,SEARCH_TERM_COUNT_IN_DESC,SEARCH_TERM_FW_POS_IN_TITLE,Retailer_Margin,LAST_1_WEEK_SALES,LAST_2_WEEK_SALES,LAST_4_WEEK_SALES,LAST_8_WEEK_SALES,LAST_16_WEEK_SALES,HOLIDAY_FLAG,FB_FEEDBACK_COMMENT_COUNT,FB_FEEDBACK_AVG_RATING,AV_OOS
0.99,33,531,1,5584.75,5613,1,1,1,2,3,0,11059,15359,22742,57877,104535,0,4,3,0
1.35,29,360,1,9165.55,6960,0,0,0,0,0,0.300426119,11705,14708,29314,51507,108455,0,3,5,0
2,30,324,1,5264.55,2632,1,1,1,2,3,0.528975437,5625,10149,22027,29904,74212,0,6,4.3,0
3,24,110,1,4080.9,1360,0,1,0,2,0,0.606289026,2426,4407,50766,71446,104358,0,71,4.7,0
0.99,33,531,1,5584.75,5613,1,1,1,2,3,0,11059,15359,22742,57877,104535,0,4,3,0
1,33,307,1,15513.6,15492,1,0,1,0,3,0,20406,24938,33198,48475,50926,0,1,1,0
0.99,35,371,1,3688.96,3717,0,0,0,0,0,0,6497,8913,13970,23521,45960,1,6,4.2,0
5,22,46,1,1793,448,0,0,0,0,0,0.382535589,813,1156,1519,8180,18966,1,5,2.4,0
1.35,33,433,1,5661.9,4180,0,0,0,0,3,0.555272593,10931,18598,48101,79979,137175,1,4,5,0
5,38,190,1,5748,1638,0,0,0,0,5,0.452448917,2008,2402,3668,11586,28068,1,124,4.6,0
3,24,109,1,4235.3,1582,0,0,0,0,0,0.468237841,5295,7365,13477,23340,41553,1,71,4.7,0
2.2,31,96,3,0,0,1,0,1,0,3,0,0,0,0,0,0,0,4,4,0
1.99,57,138,1,2031.88,1020,1,0,1,0,5,0.315990055,2233,3585,6002,10615,18682,0,47,4.2,0
0.99,26,182,1,1653.3,1670,1,1,1,2,2,0.441014721,3293,4951,7814,12643,22860,1,8,4.1,0
1.25,33,95,1,1736.25,1382,0,0,0,0,3,0.407713655,2772,3892,5841,9231,18286,1,1,5,0
4,26,565,1,9373.8,2333,1,1,1,3,3,0.608623466,7000,10479,15219,27468,65853,1,5,4.2,0
1.25,29,360,1,6422.25,4745,0,0,0,0,3,0.319337402,7748,15352,26611,50459,107984,0,3,5,0
0.99,33,571,1,8536,8622,1,0,1,0,3,0.284505884,12797,16425,22482,33784,48552,1,6,5,0
1.25,22,199,1,20210.1,16164,0,0,0,0,3,0.387873279,33176,48850,80660,140792,294670,1,4,4,0
1.35,36,182,4,3594.45,2662,0,0,0,0,3,0.371786651,5458,8349,14233,26059,44435,0,3,5,0
5,17,109,1,4869,1214,0,0,0,0,0,0.198034961,2595,3431,5004,8641,15393,0,5,1.4,0
3.5,23,289,4,40164.18,13017,0,0,0,0,3,0.168845775,15127,17045,20783,32070,60336,0,91,4.6,0
1.25,24,220,1,12533.75,10027,0,0,0,0,0,0.346945661,19887,28939,48860,88241,159721,0,6,4.8,0
1.25,42,94,1,8967.5,7158,0,0,0,0,5,0.413021949,14246,20836,32464,50416,93316,1,67,4.4,0
1.35,36,180,1,4431.7,3213,0,0,0,0,3,0.343478893,6187,8979,13600,22067,41290,1,3,5,0
0.99,33,156,1,1364.22,1378,1,0,1,0,3,0.426042989,3067,5057,8782,16188,40556,0,6,5,0
0.99,33,156,1,1315.71,1329,1,1,1,2,2,0.501905766,3084,5252,9267,16759,29543,0,6,5,0
1.35,42,74,1,4733.4,3494,0,0,0,0,5,0.432552285,10254,20382,53090,93904,164122,0,68,4.4,0
1.35,29,433,1,12407.1,9189,0,0,0,0,0,0.361591548,17576,26034,37739,59605,111161,0,4,5,0
0.99,26,182,1,1227.6,1240,0,0,0,0,0,0.488165533,2419,3742,6492,11432,20606,0,7,4,0
2.99,26,247,1,7706.95,2573,0,0,0,0,3,0.391840672,4814,6970,12906,27231,85598,0,4,4,0
3.6,26,344,1,14359.05,4785,0,0,0,0,3,0.413006273,9509,13548,17321,31142,50300,1,5,4.2,0
1.25,18,441,1,26372,21094,0,0,0,0,3,1.449610083,40670,61946,101848,174048,323876,0,3,2.3,0
1.65,33,271,1,19026.35,13677,0,0,0,0,3,0.506817413,25567,30582,40644,55951,99502,1,103,4.8,0
3,24,109,1,3966.6,1322,0,1,0,2,0,0.564025259,2652,4469,12218,19480,92899,0,71,4.7,0
1.65,33,271,1,24436.3,18094,1,1,1,1,3,0.491990882,38353,52030,68935,87070,131819,1,103,4.8,0
1.25,25,110,1,13288.25,10610,0,0,0,0,4,0,19373,28159,46692,82463,147728,0,3,2.3,0
3,31,96,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,4,0
1,35,342,1,1910,1910,0,0,0,0,0,0,3862,6027,9263,11064,11064,1,1,1,0
3.5,30,110,1,6515.5,1861,1,0,0,0,2,0.28468471,5063,76453,160713,206088,214400,0,7,5,0
1.99,33,244,1,7330.78,3676,0,0,0,0,0,0.422592913,7554,11660,19338,33849,57025,0,3,2.7,0
3.5,49,312,1,9042.5,2583,1,0,0,0,3,0.486698876,4779,5627,10117,46394,448380,0,10,4.9,0
1.99,33,244,1,7506.48,3766,0,0,0,0,4,-0.045831503,7837,11214,18399,32344,63225,0,3,2.7,0
1.8,30,246,1,4003.29,2224,1,0,1,0,3,0.413246283,4349,6792,13052,29082,67560,0,2,5,0
3,24,109,1,14525,7260,0,0,0,0,0,0.342309113,26508,44907,74493,81035,103261,0,71,4.7,0
1.35,37,165,4,6836.7,5062,0,0,0,0,3,0.36697663,9674,13698,21871,46380,83390,0,2,4.5,0
1.25,24,220,1,12733.75,10187,0,0,0,0,4,0.38739004,20320,30160,48387,115823,239665,1,6,4.8,0
1.25,32,119,4,1047.5,838,1,0,1,0,3,0.377417574,1521,2130,3031,7206,14648,0,1,1,0
3,26,102,1,1725,575,0,0,0,0,3,0.548991136,1218,1770,3330,4286,4286,0,1,5,0
1.35,36,180,1,4300.35,3171,0,0,0,0,0,0.354284199,4776,4807,7999,15258,36849,0,3,5,0
0.99,26,607,1,1413.72,1428,0,0,0,0,0,0.248485712,3162,4845,8006,14368,24336,1,8,4.1,0
1.8,30,324,1,7584.71,4524,1,1,1,2,3,0.438043704,11059,16402,21139,39124,75945,0,4,5,0
3.5,30,110,1,2247,642,1,0,0,0,2,0.340207607,1178,1542,2167,2336,2336,0,1,5,0
0.99,26,182,1,1248.39,1261,1,1,1,2,3,0.331563002,2454,3730,6369,16193,45889,0,6,3.8,0
1.35,33,95,1,2274.6,1664,0,0,0,0,3,0.432831895,3906,6363,14328,24461,43164,1,5,4.6,0
4,26,565,1,9373.8,2333,1,1,1,3,3,0.608623466,7000,10479,15219,27468,65853,1,5,4.2,0
1.35,27,186,1,1354.2,1000,0,0,0,0,2,0.528388126,2549,5210,8457,17646,31483,1,4,4,0
3.5,26,102,1,1726.5,493,1,0,1,0,3,0.458198943,748,1116,2496,13109,182611,0,5,4.4,0
1,33,307,1,4836.95,4832,0,0,0,0,3,0,9240,12538,16970,17728,17728,1,1,1,0
3.5,30,110,1,2530.5,723,1,0,0,0,2,0.340207607,1365,1901,2673,3059,3059,0,1,5,0
3,18,101,3,2043,681,1,0,1,0,2,-2.665134456,1318,2173,4092,14153,25702,0,1,5,0
0.99,35,342,1,2636.92,2653,0,0,0,0,0,0,5739,7927,10916,21127,47675,0,6,4.2,0
5,17,111,1,1230,246,0,0,0,0,0,0.440895362,583,851,1200,3067,11732,0,11,1.5,0
3.49,38,190,1,2332.06,668,0,0,0,0,5,0.509867658,1470,4330,11780,21476,32918,0,123,4.6,0
1.35,36,92,1,4422.8,3188,1,0,1,0,4,0.420360335,6226,8877,12228,27028,51315,0,4,4,0
1.35,33,95,1,3064.2,2242,0,0,0,0,3,0.432740193,4699,9997,15225,25393,43732,1,5,4.6,0
1.25,36,182,4,3754,2992,0,0,0,0,3,0.239696768,5828,8593,13447,21368,41111,0,1,5,0
3.5,26,247,1,8166.22,2333,1,1,1,2,3,0.380279173,6644,10870,34902,62773,91606,1,4,4,0
1.99,36,308,1,3597.03,1797,0,0,0,0,2,-0.44331095,9621,17946,32955,63699,132645,0,2,4,1
1.99,33,455,1,11592.26,5802,0,0,0,0,4,0.301623244,10035,14227,21483,32012,59106,1,3,2.7,0
1,33,307,1,15513.6,15492,1,0,1,0,3,0,20406,24938,33198,48475,50926,0,1,1,0
3.5,26,247,1,12936,4311,1,1,1,2,3,0.52027981,8537,23949,40641,64590,96143,0,4,4,0
3.5,31,98,1,13863,6930,0,0,0,0,4,0.397120329,11031,16251,23391,27842,31786,0,2,5,0
1.25,37,165,4,4243,3391,0,0,0,0,3,0.389925603,6578,9677,15537,27032,47849,0,1,4,0
3.5,34,274,1,45844.75,14551,1,1,1,1,4,0.463453359,30532,41656,60794,88598,116624,1,92,4.6,0
